,id,name,overall,pace,shooting,passing,dribbling,defense,physical,player_positions,club_position,value_eur,wage_eur,club_name,preferred_foot,player_tags,player_traits
0,231747,kylian mbappe,91,97,90,80,92,36,78,"ST, LW",LW,181500000.0,230000.0,Paris Saint Germain,Right,"#Speedster, #Dribbler, #Acrobat, #Clinical finisher, #Complete forward","Quick Step +, Rapid, Flair, Trivela"
1,239085,erling haaland,91,89,93,66,80,45,88,ST,ST,185000000.0,340000.0,Manchester City,Left,"#Aerial threat, #Distance shooter, #Strength, #Clinical finisher, #Complete forward","Acrobatic +, Power Header, Quick Step"
2,192985,kevin de bruyne,91,72,88,94,87,65,78,"CM, CAM",SUB,103000000.0,350000.0,Manchester City,Right,"#Dribbler, #Playmaker, #Distance shooter, #Crosser, #Complete midfielder","Pinged Pass +, Dead Ball, Incisive Pass, Long Ball Pass, Whipped Cross, Trivela"
3,158023,lionel messi,90,80,87,90,94,33,64,"CF, CAM",RF,41000000.0,23000.0,Inter Miami,Left,"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Clinical finisher, #Complete midfielder, #Complete forward","Technical +, Finesse Shot, Dead Ball, Pinged Pass, Tiki Taka, Quick Step, Trivela"
4,165153,karim benzema,90,79,88,83,87,39,78,"CF, ST",RS,51000000.0,95000.0,Al Ittihad,Right,"#Poacher, #Aerial threat, #Clinical finisher, #Complete forward","Finesse Shot +, Dead Ball, Pinged Pass, Tiki Taka, First Touch, Relentless, Trivela"
5,192119,thibaut courtois,90,85,89,76,93,46,90,GK,SUB,63000000.0,250000.0,Real Madrid,Left,,Far Throw
6,202126,harry kane,90,69,93,84,83,49,83,ST,ST,119500000.0,170000.0,FC Bayern München,Right,"#Distance shooter, #Clinical finisher","Pinged Pass +, Long Ball Pass, First Touch, Trivela"
7,188545,robert lewandowski,90,75,91,80,87,44,84,ST,ST,58000000.0,340000.0,FC Barcelona,Right,"#Aerial threat, #Dribbler, #Distance shooter, #Clinical finisher, #Complete forward","Power Header +, Finesse Shot, Chip Shot, Power Shot, Pinged Pass, First Touch, Trivela"
8,209331,mohamed salah,89,89,87,81,88,45,76,RW,RW,85500000.0,260000.0,Liverpool,Left,"#Dribbler, #Acrobat, #Clinical finisher, #Complete forward","Finesse Shot +, Chip Shot, Rapid, Trivela"
9,239818,ruben dias,89,62,39,66,69,89,87,CB,LCB,106500000.0,250000.0,Manchester City,Right,"#Tackling, #Tactician, #Strength, #Complete defender","Bruiser +, Power Header, Block, Aerial"
10,238794,vini jr.,89,95,82,78,90,29,68,LW,SUB,158500000.0,310000.0,Real Madrid,Right,"#Speedster, #Dribbler, #Acrobat, #Clinical finisher, #Complete forward","Quick Step +, Finesse Shot, Chip Shot, Rapid, Flair, First Touch, Trivela"
11,231866,rodri,89,58,73,80,80,85,84,"CDM, CM",RCM,105500000.0,250000.0,Manchester City,Right,,"Power Shot +, Long Ball Pass, Bruiser"
12,190871,neymar jr,89,86,83,85,93,37,61,LW,LM,85500000.0,115000.0,Al Hilal,Right,"#Dribbler, #FK Specialist, #Acrobat","Trickster +, Pinged Pass, Technical, Flair, First Touch, Quick Step, Trivela"
13,192448,marc-andre ter stegen,89,86,85,89,91,47,86,GK,GK,54500000.0,220000.0,FC Barcelona,Right,,Footwork
14,203376,virgil van dijk,89,78,60,71,72,89,86,CB,LCB,70500000.0,220000.0,Liverpool,Right,"#Tackling, #Tactician, #Strength, #Complete defender","Aerial +, Power Header, Long Ball Pass, Jockey, Block, Anticipate, Bruiser"
15,212831,alisson,89,86,85,85,89,56,90,GK,GK,77500000.0,180000.0,Liverpool,Right,,Far Throw
16,200145,casemiro,89,63,75,79,73,89,88,CDM,RCM,72000000.0,240000.0,Manchester United,Right,"#Tackling, #Tactician, #Strength, #Complete defender","Block +, Long Ball Pass, Slide Tackle"
17,212198,bruno fernandes,88,71,86,90,83,69,77,"CAM, CM",CAM,92000000.0,260000.0,Manchester United,Right,"#Playmaker, #Engine, #Distance shooter, #Crosser, #Complete midfielder","Pinged Pass +, Incisive Pass, Long Ball Pass, Flair, First Touch, Trivela"
18,194765,antoine griezmann,88,80,88,87,88,58,75,"ST, CF",RS,74000000.0,135000.0,Atlético Madrid,Left,"#Dribbler, #Engine, #Acrobat, #Clinical finisher, #Complete forward","Finesse Shot +, Chip Shot, Pinged Pass, Technical, Flair, Trivela, Acrobatic"
19,232293,victor osimhen,88,90,86,66,83,42,82,ST,ST,126500000.0,120000.0,Napoli,Right,,"Chip Shot, Power Header, Rapid, Acrobatic"
20,218667,bernardo silva,88,69,78,86,92,70,69,"CM, RW",SUB,91500000.0,270000.0,Manchester City,Left,"#Dribbler, #Playmaker, #Engine, #Acrobat, #Complete midfielder","Technical +, Tiki Taka, Flair, Relentless, Trivela"
21,239053,federico valverde,88,88,82,84,84,80,82,"CM, RW",RCM,130500000.0,270000.0,Real Madrid,Right,"#Playmaker, #Engine, #Distance shooter, #Complete midfielder","Power Shot, Long Ball Pass, Rapid, Relentless, Trivela"
22,210257,ederson,88,86,82,91,86,64,86,GK,GK,70000000.0,210000.0,Manchester City,Left,,
23,212622,joshua kimmich,88,70,74,88,84,82,79,"CDM, RB, CM",RDM,88000000.0,130000.0,FC Bayern München,Right,#Crosser,"Long Ball Pass +, Dead Ball, Whipped Cross, Anticipate, Press Proven, Relentless"
24,200389,jan oblak,88,85,90,78,87,46,86,GK,GK,61000000.0,90000.0,Atlético Madrid,Right,,Far Throw
25,177003,luka modric,87,72,76,89,87,72,66,CM,SUB,25000000.0,190000.0,Real Madrid,Right,"#Playmaker, #Crosser, #Acrobat, #Complete midfielder","Trivela +, Pinged Pass, Long Ball Pass, Whipped Cross, Technical"
26,228702,frenkie de jong,87,82,69,86,87,77,78,"CM, CDM",LCM,103500000.0,240000.0,FC Barcelona,Right,"#Dribbler, #Playmaker, #Acrobat, #Complete midfielder","Trivela +, Finesse Shot, Pinged Pass, Long Ball Pass, Tiki Taka, Flair, Press Proven"
