,id,name,overall,pace,shooting,passing,dribbling,defense,physical
0,231747,kylian mbappe,91,97,90,80,92,36,78
1,239085,erling haaland,91,89,93,66,80,45,88
2,192985,kevin de bruyne,91,72,88,94,87,65,78
3,158023,lionel messi,90,80,87,90,94,33,64
4,165153,karim benzema,90,79,88,83,87,39,78
5,192119,thibaut courtois,90,85,89,76,93,46,90
6,202126,harry kane,90,69,93,84,83,49,83
7,188545,robert lewandowski,90,75,91,80,87,44,84
8,209331,mohamed salah,89,89,87,81,88,45,76
9,239818,ruben dias,89,62,39,66,69,89,87
10,238794,vini jr.,89,95,82,78,90,29,68
11,231866,rodri,89,58,73,80,80,85,84
12,190871,neymar jr,89,86,83,85,93,37,61
13,192448,marc-andre ter stegen,89,86,85,89,91,47,86
14,203376,virgil van dijk,89,78,60,71,72,89,86
15,212831,alisson,89,86,85,85,89,56,90
16,200145,casemiro,89,63,75,79,73,89,88
17,212198,bruno fernandes,88,71,86,90,83,69,77
18,194765,antoine griezmann,88,80,88,87,88,58,75
19,232293,victor osimhen,88,90,86,66,83,42,82
20,218667,bernardo silva,88,69,78,86,92,70,69
21,239053,federico valverde,88,88,82,84,84,80,82
22,210257,ederson,88,86,82,91,86,64,86
23,212622,joshua kimmich,88,70,74,88,84,82,79
24,200389,jan oblak,88,85,90,78,87,46,86
25,177003,luka modric,87,72,76,89,87,72,66
26,228702,frenkie de jong,87,82,69,86,87,77,78
27,231478,lautaro martinez,87,80,86,71,85,48,85
28,222665,martin degaard,87,72,81,88,87,61,64
29,215698,mike maignan,87,85,82,87,89,51,85
30,207865,marquinhos,87,78,56,75,74,89,80
31,235073,gregor kobel,87,86,84,74,89,44,85
32,200104,heung min son,87,87,88,80,84,42,70
33,230621,gianluigi donnarumma,87,90,82,79,89,52,83
34,167495,manuel neuer,87,84,85,90,84,49,88
35,231443,ousmane dembele,86,93,77,81,87,36,57
36,246669,bukayo saka,86,85,81,79,87,60,70
37,252371,jude bellingham,86,76,75,79,85,78,82
38,241721,rafael leao,86,93,80,75,87,27,76
39,251854,pedri,86,78,69,82,88,70,74
40,235243,matthijs de ligt,86,66,61,64,68,85,86
41,241096,sandro tonali,86,84,74,81,81,82,84
42,204485,riyad mahrez,86,79,81,81,89,38,60
43,256790,jamal musiala,86,85,75,76,91,63,61
44,224232,nicolo barella,86,78,78,82,85,78,80
45,253163,ronald araujo,86,79,51,65,62,86,84
46,211110,paulo dybala,86,80,85,85,90,40,60
47,186942,ilkay gundogan,86,62,81,84,86,72,73
48,223848,sergej milinkovic-savic,86,68,80,82,82,79,86
49,247635,khvicha kvaratskhelia,86,84,80,81,87,41,71
50,216267,andrew robertson,86,80,61,82,81,81,77
51,189513,parejo,86,49,83,90,80,73,69
52,208722,sadio mane,86,85,83,79,87,44,74
53,182521,toni kroos,86,51,80,90,81,70,71
54,240130,eder militao,86,85,50,69,71,86,82
55,232411,christopher nkunku,86,82,81,83,88,62,67
56,215914,n'golo kante,86,69,65,73,80,85,77
57,210514,joao cancelo,86,81,73,85,84,80,72
58,20801,cristiano ronaldo,86,77,88,75,80,34,74
59,231281,trent alexander-arnold,86,76,69,90,79,80,73
60,186153,wojciech szczesny,86,86,83,73,87,49,86
61,206517,jack grealish,85,76,76,84,88,53,73
62,237383,alessandro bastoni,85,73,35,72,73,86,83
63,213345,kingsley coman,85,89,76,79,87,30,62
64,217870,giovanni di lorenzo,85,85,67,75,79,82,82
65,209658,leon goretzka,85,78,81,81,83,80,86
66,212218,aymeric laporte,85,61,50,73,69,86,78
67,203574,john stones,85,72,52,75,77,85,77
68,188943,kevin trapp,85,83,81,77,86,46,85
69,186345,kieran trippier,85,68,65,86,79,82,72
70,208128,hakan calhanoglu,85,67,80,86,85,70,66
71,224458,diogo jota,85,82,82,75,85,57,77
72,256630,florian wirtz,85,74,76,83,87,52,63
73,209981,yassine bounou,85,82,83,79,87,38,84
74,192629,iago aspas,85,81,85,79,86,35,64
75,241486,jules kounde,85,84,45,68,75,86,80
76,193041,keylor navas,85,84,80,75,87,54,84
77,205452,antonio rudiger,85,82,54,71,66,84,86
78,201535,raphael varane,85,79,49,64,67,86,78
79,224334,marcos acuna,85,75,74,83,83,81,84
80,197445,david alaba,85,79,71,83,80,85,77
81,237692,phil foden,85,81,79,82,88,57,60
82,202811,emiliano martinez,85,83,83,82,85,58,84
83,226753,andre onana,85,83,80,88,85,61,84
84,243812,rodrygo,85,88,81,79,86,31,62
85,210935,domenico berardi,85,82,83,81,87,36,72
86,232656,theo hernandez,85,93,71,76,81,78,84
87,192387,ciro immobile,85,85,87,68,78,39,74
88,209989,thomas partey,85,68,71,82,80,81,82
89,231677,marcus rashford,85,90,86,78,84,42,74
90,234378,declan rice,85,71,65,75,77,83,83
91,239580,bremer,84,80,50,56,65,85,83
92,241852,moussa diaby,84,95,73,75,86,42,59
93,251566,gabriel martinelli,84,89,78,76,86,46,72
94,207862,matthias ginter,84,60,59,71,66,85,80
95,210035,grimaldo,84,87,69,83,84,76,72
96,216435,stanislav lobotka,84,71,70,81,83,77,75
97,226161,marcos llorente,84,89,78,79,80,78,81
98,233934,aaron ramsdale,84,84,79,87,86,48,81
99,226754,ismael bennacer,84,80,72,81,86,79,78
100,212194,julian brandt,84,71,80,84,86,51,70
101,209499,fabinho,84,59,69,78,77,82,82
102,213648,pierre-emile hjbjerg,84,55,73,78,78,81,82
103,193747,koke,84,69,72,85,79,79,78
104,201024,kalidou koulibaly,84,76,48,63,68,84,83
105,192505,romelu lukaku,84,80,84,74,77,38,82
106,189596,thomas muller,84,59,82,83,79,55,69
107,233419,raphinha,84,91,79,78,86,53,73
108,232363,milan skriniar,84,78,41,57,67,86,83
109,232756,fikayo tomori,84,86,40,59,66,86,82
110,202556,memphis depay,84,82,82,81,85,30,80
111,230666,gabriel jesus,84,83,82,75,88,40,77
112,206113,serge gnabry,84,81,84,78,84,43,68
113,185122,peter gulacsi,84,85,84,76,84,43,83
114,238074,reece james,84,80,72,83,82,82,81
115,237679,randal kolo muani,84,91,78,73,86,38,67
116,225193,mikel merino,84,72,78,82,82,83,82
117,224293,ruben neves,84,60,75,86,77,76,73
118,227127,alex remiro,84,84,78,80,86,42,86
119,208418,yannick carrasco,84,88,81,80,85,59,66
120,192984,koen casteels,84,84,82,77,86,45,85
121,235805,federico chiesa,84,91,82,76,86,53,75
122,232580,gabriel,84,70,41,62,60,85,82
123,220814,lucas hernandez,84,76,54,70,70,84,78
124,203841,nick pope,84,82,83,75,86,49,84
125,210008,adrien rabiot,84,78,76,80,80,82,84
126,189881,chris smalling,84,62,47,58,62,87,82
127,241637,aurelien tchouameni,84,73,69,79,78,81,81
128,189509,thiago,84,61,72,86,89,71,67
129,188377,kyle walker,84,90,63,77,78,79,81
130,247851,bruno guimaraes,84,71,74,81,84,80,81
131,212616,rodrigo javier de paul,84,78,77,83,82,75,83
132,241084,luis diaz,84,91,81,75,87,34,74
133,235212,achraf hakimi,84,92,75,80,80,75,78
134,237086,kim min jae,84,80,33,58,64,85,84
135,198706,luis alberto,84,69,77,85,84,62,58
136,220697,james maddison,84,71,81,86,86,54,63
137,239301,lisandro martinez,84,73,59,78,79,85,83
138,222492,leroy sane,84,91,81,80,85,38,68
139,177683,yann sommer,84,78,79,83,90,50,84
140,212190,niklas sule,84,73,51,68,62,85,85
141,164240,thiago silva,84,51,54,74,72,87,74
142,216352,marcelo brozovic,83,66,74,81,80,80,78
143,208333,emre can,83,79,78,77,79,82,87
144,183898,angel di maria,83,78,78,86,89,48,67
145,216594,nabil fekir,83,82,81,81,86,39,80
146,229582,gianluca mancini,83,67,45,54,62,83,86
147,225116,alex meret,83,83,80,72,86,44,83
148,200724,nacho fernandez,83,75,37,69,71,82,80
149,243715,william saliba,83,82,39,69,73,84,82
150,202652,raheem sterling,83,85,78,76,85,45,67
151,227236,andre-franck zambo anguissa,83,78,68,72,81,81,86
152,199845,francesco acerbi,83,60,50,64,64,86,80
153,213661,andreas christensen,83,67,32,68,71,85,76
154,244260,dani olmo,83,68,76,82,86,50,59
155,253149,jeremie frimpong,83,94,56,75,84,74,70
156,208093,gerard moreno,83,77,85,77,81,46,72
157,205693,sebastien haller,83,62,81,63,76,52,81
158,178603,mats hummels,83,53,58,76,70,86,78
159,193301,alexandre lacazette,83,72,84,77,83,44,77
160,229391,palhinha,83,62,67,71,76,84,89
161,241464,pau torres,83,72,38,68,70,84,81
162,226851,benjamin pavard,83,70,62,73,72,85,78
163,228251,lorenzo pellegrini,83,79,76,83,83,74,78
164,216547,rafa,83,93,77,77,86,50,54
165,225659,guido rodriguez,83,51,58,72,70,85,80
166,247819,nico schlotterbeck,83,78,58,67,73,85,82
167,210406,piotr zielinski,83,81,77,81,86,71,63
168,224179,borja iglesias,83,69,84,66,76,40,82
169,234396,alphonso davies,83,95,66,78,84,74,77
170,167948,hugo lloris,83,85,80,70,86,60,81
171,201153,morata,83,82,82,72,79,31,79
172,230142,oyarzabal,83,77,83,80,83,41,62
173,188350,marco reus,83,65,83,83,85,53,63
174,234236,patrik schick,83,79,80,71,81,37,76
175,202648,sergi darder,83,81,76,82,83,74,77
176,189511,sergio busquets,83,37,62,79,79,81,73
177,230869,unai simon,83,84,79,77,85,49,84
178,246430,dusan vlahovic,83,80,85,66,79,29,82
179,199451,wissam ben yedder,83,80,84,78,87,39,68
180,180930,edin dzeko,83,59,84,72,77,45,76
181,190460,christian eriksen,83,59,77,89,81,51,53
182,247090,enzo fernandez,83,73,73,81,80,75,79
183,264240,gavi,83,76,66,78,85,68,70
184,210324,jonas hofmann,83,76,79,83,81,64,73
185,189332,jordi alba,83,84,70,82,81,76,70
186,251809,sven botman,83,65,37,63,66,84,84
187,242516,cody gakpo,83,85,82,78,84,42,73
188,216460,jose maria gimenez,83,71,46,58,61,85,82
189,205498,jorginho,83,53,67,84,81,74,73
190,208574,filip kostic,83,85,76,82,82,70,80
191,225375,konrad laimer,83,80,69,77,78,81,79
192,220834,marco asensio,83,81,81,81,83,43,63
193,204638,willi orban,83,58,36,56,56,85,81
194,210413,alessio romagnoli,83,69,40,56,69,85,80
195,205988,luke shaw,83,76,57,82,79,81,78
196,227535,rodrigo bentancur,82,70,67,81,83,79,77
197,198176,stefan de vrij,82,64,41,64,69,84,76
198,234577,diogo costa,82,80,77,80,86,35,80
199,241461,ferran torres,82,83,79,78,83,35,68
200,216320,seko fofana,82,71,77,76,80,73,86
201,211688,gaya,82,81,61,77,79,78,74
202,178509,olivier giroud,82,43,83,74,74,42,80
203,212096,vincenzo grifo,82,71,80,83,81,40,64
204,231591,javi galan,82,81,56,77,83,79,72
205,173608,joselu,82,63,84,69,74,33,77
206,230938,franck yannick kessie,82,79,76,74,79,81,87
207,222077,manuel locatelli,82,67,70,80,78,79,80
208,253072,darwin nunez,82,90,81,71,76,43,85
209,252145,nuno mendes,82,89,58,75,80,77,76
210,213516,ricardo horta,82,80,83,80,80,43,70
211,232488,cristian romero,82,70,46,59,66,84,80
212,241788,mehdi taremi,82,78,81,76,81,38,74
213,223197,enes unal,82,72,84,70,82,40,80
214,196978,callum wilson,82,80,82,67,79,42,76
215,199503,granit xhaka,82,49,74,82,73,75,82
216,214997,angel correa,82,85,84,77,86,50,75
217,246242,boulaye dia,82,82,81,62,81,27,77
218,209889,raphael guerreiro,82,65,78,85,88,76,55
219,204525,inigo martinez,82,71,56,67,61,82,80
220,219522,jeremias conan ledesma,82,83,79,75,84,46,79
221,229668,mario hermoso,82,75,49,74,71,82,79
222,210411,otavio,82,78,70,81,85,66,74
223,224987,ivan provedel,82,83,79,80,85,42,79
224,201942,roberto firmino,82,70,77,79,87,58,77
225,236772,dominik szoboszlai,82,83,82,84,82,34,64
226,244369,viktor tsygankov,82,85,78,79,81,46,61
227,225341,david garcia,82,59,37,66,65,83,77
228,223334,joelinton,82,78,71,76,82,81,88
229,241671,dominik livakovic,82,80,76,71,89,56,80
230,239837,alexis mac allister,82,70,79,82,82,70,72
231,233084,nahuel molina,82,85,67,76,79,78,71
232,240950,pedro goncalves,82,76,82,81,84,58,66
233,210047,fabian schar,82,54,68,75,73,84,77
234,240091,guglielmo vicario,82,83,81,79,85,34,83
235,212242,robert andrich,82,57,76,76,73,81,85
236,204963,carvajal,82,82,54,76,79,77,79
237,235410,youssef en-nesyri,82,81,82,63,76,36,79
238,184134,fernando,82,63,62,74,73,82,81
239,211738,mark flekken,82,81,74,83,85,31,81
240,212814,joao mario,82,70,79,81,83,69,70
241,225850,presnel kimpembe,82,79,43,68,69,81,86
242,213565,thomas lemar,82,82,78,83,86,67,65
243,228618,ferland mendy,82,92,64,76,77,77,86
244,234642,edouard mendy,82,80,79,81,83,34,81
245,243580,lois openda,82,93,79,68,80,31,78
246,204639,stefan savic,82,64,35,57,57,85,80
247,223959,lucas torreira,82,76,70,77,80,79,78
248,229558,dayot upamecano,82,83,45,63,72,81,83
249,229237,manuel akanji,82,77,48,70,72,83,78
250,248243,eduardo camavinga,82,79,66,80,82,76,80
251,226268,federico dimarco,82,79,71,80,79,74,71
252,192318,mario gotze,82,63,75,83,85,55,71
253,251517,josko gvardiol,82,78,54,69,74,82,83
254,235790,kai havertz,82,78,79,79,83,45,68
255,232498,isi palazon,82,84,79,79,82,39,64
256,243245,orkun kokcu,82,72,76,83,80,69,79
257,207410,mateo kovacic,82,69,69,82,87,71,70
258,233486,robin le normand,82,62,26,54,59,84,79
259,199482,anthony lopes,82,84,77,71,86,63,80
260,231447,donyell malen,82,89,80,73,85,35,73
261,236401,noussair mazraoui,82,79,66,77,83,77,74
262,192366,nicolas otamendi,82,64,57,64,59,83,85
263,204935,jordan pickford,82,83,77,87,87,51,80
264,233049,jadon sancho,82,78,70,80,87,33,47
265,199434,dusan tadic,82,64,80,85,83,43,76
